,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,262931,-,-,-,35.01,-115.02,-8.0,958.0,-8.0,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.1
1,Year,Month,Day,Hour,Minute,GHI,DNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2004,1,1,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2004,1,1,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,1,1,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2004,1,1,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2004,1,1,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2004,1,1,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2004,1,1,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2004,1,1,7,30,43,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2004,1,1,8,30,143,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2004,1,1,9,30,293,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2004,1,1,10,30,413,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2004,1,1,11,30,406,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2004,1,1,12,30,514,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2004,1,1,13,30,315,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2004,1,1,14,30,113,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2004,1,1,15,30,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2004,1,1,16,30,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2004,1,1,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2004,1,1,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2004,1,1,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2004,1,1,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2004,1,1,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2004,1,1,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2004,1,1,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2004,1,2,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2004,1,2,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2004,1,2,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2004,1,2,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2004,1,2,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2004,1,2,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2004,1,2,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2004,1,2,7,30,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2004,1,2,8,30,103,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2004,1,2,9,30,198,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2004,1,2,10,30,198,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2004,1,2,11,30,181,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2004,1,2,12,30,368,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2004,1,2,13,30,183,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2004,1,2,14,30,115,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2004,1,2,15,30,68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2004,1,2,16,30,16,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2004,1,2,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2004,1,2,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2004,1,2,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2004,1,2,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2004,1,2,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2004,1,2,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2004,1,2,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2004,1,3,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2004,1,3,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2004,1,3,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2004,1,3,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2004,1,3,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2004,1,3,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2004,1,3,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2004,1,3,7,30,98,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2004,1,3,8,30,280,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2004,1,3,9,30,437,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2004,1,3,10,30,546,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2004,1,3,11,30,594,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2004,1,3,12,30,577,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2004,1,3,13,30,502,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2004,1,3,14,30,365,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2004,1,3,15,30,188,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2004,1,3,16,30,20,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2004,1,3,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2004,1,3,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2004,1,3,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2004,1,3,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2004,1,3,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2004,1,3,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2004,1,3,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2004,1,4,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2004,1,4,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2004,1,4,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2004,1,4,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2004,1,4,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2004,1,4,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2004,1,4,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2004,1,4,7,30,99,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2004,1,4,8,30,282,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2004,1,4,9,30,441,963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2004,1,4,10,30,552,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2004,1,4,11,30,601,1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2004,1,4,12,30,585,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2004,1,4,13,30,504,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2004,1,4,14,30,368,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2004,1,4,15,30,189,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2004,1,4,16,30,21,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2004,1,4,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2004,1,4,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2004,1,4,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2004,1,4,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2004,1,4,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2004,1,4,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2004,1,4,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2004,1,5,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2004,1,5,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2004,1,5,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2004,1,5,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2004,1,5,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2004,1,5,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2004,1,5,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2004,1,5,7,30,60,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2004,1,5,8,30,225,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2004,1,5,9,30,428,905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2004,1,5,10,30,536,951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2004,1,5,11,30,585,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2004,1,5,12,30,569,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2004,1,5,13,30,409,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2004,1,5,14,30,356,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2004,1,5,15,30,187,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2004,1,5,16,30,22,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2004,1,5,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2004,1,5,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2004,1,5,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2004,1,5,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2004,1,5,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2004,1,5,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2004,1,5,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2004,1,6,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2004,1,6,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2004,1,6,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2004,1,6,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2004,1,6,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2004,1,6,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2004,1,6,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2004,1,6,7,30,55,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2004,1,6,8,30,178,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2004,1,6,9,30,336,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2004,1,6,10,30,341,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2004,1,6,11,30,234,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2004,1,6,12,30,534,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2004,1,6,13,30,407,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2004,1,6,14,30,274,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2004,1,6,15,30,86,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2004,1,6,16,30,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2004,1,6,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2004,1,6,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2004,1,6,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,2004,1,6,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2004,1,6,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2004,1,6,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2004,1,6,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2004,1,7,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2004,1,7,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2004,1,7,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2004,1,7,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2004,1,7,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2004,1,7,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2004,1,7,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2004,1,7,7,30,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2004,1,7,8,30,181,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2004,1,7,9,30,345,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2004,1,7,10,30,486,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2004,1,7,11,30,524,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2004,1,7,12,30,570,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2004,1,7,13,30,405,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2004,1,7,14,30,364,882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,2004,1,7,15,30,191,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,2004,1,7,16,30,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,2004,1,7,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,2004,1,7,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,2004,1,7,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2004,1,7,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2004,1,7,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,2004,1,7,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,2004,1,7,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2004,1,8,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,2004,1,8,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,2004,1,8,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2004,1,8,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,2004,1,8,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2004,1,8,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,2004,1,8,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,2004,1,8,7,30,94,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,2004,1,8,8,30,274,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,2004,1,8,9,30,432,916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2004,1,8,10,30,542,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,2004,1,8,11,30,592,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,2004,1,8,12,30,578,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,2004,1,8,13,30,368,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,2004,1,8,14,30,246,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,2004,1,8,15,30,171,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,2004,1,8,16,30,27,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,2004,1,8,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,2004,1,8,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,2004,1,8,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,2004,1,8,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,2004,1,8,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2004,1,8,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,2004,1,8,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,2004,1,9,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,2004,1,9,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,2004,1,9,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2004,1,9,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,2004,1,9,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,2004,1,9,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2004,1,9,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2004,1,9,7,30,96,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2004,1,9,8,30,280,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2004,1,9,9,30,439,940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,2004,1,9,10,30,551,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,2004,1,9,11,30,602,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,2004,1,9,12,30,588,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2004,1,9,13,30,510,962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,2004,1,9,14,30,376,898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2004,1,9,15,30,202,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2004,1,9,16,30,29,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2004,1,9,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,2004,1,9,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,2004,1,9,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2004,1,9,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,2004,1,9,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2004,1,9,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
